epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.216,0.94948,1.69869,1.06277,0.86498,0.81372,0.87257,0.63171,0.86403,1.00229,1.06261,0.000554308,0.000554308,0.000554308
2,174.724,0.94677,1.02518,1.0768,0.90156,0.84581,0.91146,0.67258,0.8296,0.78599,1.04834,0.001088,0.001088,0.001088
3,247.018,0.91845,0.87302,1.06608,0.89843,0.84722,0.91318,0.68407,0.82918,0.71005,1.04648,0.00159968,0.00159968,0.00159968
4,317.943,0.91414,0.84028,1.07556,0.90272,0.84282,0.9097,0.69009,0.80879,0.77393,1.05849,0.00156798,0.00156798,0.00156798
5,390.021,0.88943,0.78981,1.06374,0.89796,0.84356,0.90819,0.67953,0.80829,0.7864,1.03618,0.00153497,0.00153497,0.00153497
6,461.424,0.86932,0.75753,1.05482,0.9009,0.8546,0.91254,0.69988,0.78455,0.68781,1.01877,0.00150197,0.00150197,0.00150197
7,533.069,0.84779,0.72526,1.0381,0.92018,0.85673,0.93455,0.71724,0.77362,0.6541,1.01247,0.00146896,0.00146896,0.00146896
8,603.688,0.8391,0.71197,1.0329,0.90614,0.85729,0.92919,0.72833,0.7418,0.65139,0.9963,0.00143595,0.00143595,0.00143595
9,675.746,0.82116,0.69344,1.02447,0.91483,0.88507,0.93894,0.73163,0.79897,0.63562,0.99251,0.00140295,0.00140295,0.00140295
10,747.329,0.7993,0.67035,1.01281,0.90741,0.8899,0.94152,0.75596,0.70574,0.58387,0.97377,0.00136994,0.00136994,0.00136994
11,818.382,0.78375,0.64961,1.00597,0.92427,0.87133,0.93662,0.73128,0.73554,0.60812,1.00662,0.00133693,0.00133693,0.00133693
12,889.422,0.7859,0.66568,1.00867,0.92163,0.86613,0.93951,0.74177,0.72947,0.60093,0.99458,0.00130393,0.00130393,0.00130393
13,961.058,0.76447,0.63986,0.996,0.91846,0.88381,0.9422,0.76122,0.68446,0.58875,0.96179,0.00127092,0.00127092,0.00127092
14,1032.57,0.75994,0.6305,0.99787,0.92913,0.88837,0.94621,0.76854,0.65786,0.53791,0.9595,0.00123791,0.00123791,0.00123791
15,1103.92,0.75124,0.62091,0.99267,0.9173,0.89077,0.94469,0.76017,0.68703,0.58905,0.97691,0.00120491,0.00120491,0.00120491
16,1175.84,0.74274,0.6109,0.98686,0.93049,0.89393,0.94948,0.77582,0.65561,0.52554,0.95023,0.0011719,0.0011719,0.0011719
17,1247.75,0.74492,0.59599,0.98778,0.93438,0.8867,0.94876,0.76661,0.65444,0.51801,0.95582,0.00113889,0.00113889,0.00113889
18,1319.11,0.73149,0.58331,0.98147,0.92681,0.89645,0.94803,0.76994,0.66126,0.54155,0.9581,0.00110589,0.00110589,0.00110589
