epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5675,0.87282,1.27547,1.0771,0.90237,0.85299,0.91915,0.70605,0.7682,0.70423,0.99645,0.00332518,0.00332518,0.00332518
2,165.604,0.85598,0.77459,1.02924,0.90325,0.87308,0.92788,0.71568,0.79214,0.62495,1.01129,0.0065926,0.0065926,0.0065926
3,235.064,0.90284,0.83528,1.05423,0.88521,0.78426,0.86776,0.63478,0.88166,0.80443,1.08783,0.00979401,0.00979401,0.00979401
4,306.248,0.94707,0.88251,1.09292,0.88919,0.82145,0.89006,0.6526,0.88528,0.75897,1.07622,0.009703,0.009703,0.009703
5,382.179,0.92092,0.8162,1.08218,0.90845,0.85161,0.90994,0.68789,0.79347,0.81171,1.0424,0.009604,0.009604,0.009604
6,457.277,0.88675,0.77668,1.07058,0.90848,0.83291,0.90394,0.68109,0.81031,0.75499,1.03683,0.009505,0.009505,0.009505
7,532.638,0.86159,0.74325,1.05552,0.90342,0.8638,0.9227,0.70288,0.79672,0.66505,1.04339,0.009406,0.009406,0.009406
8,608.72,0.84742,0.71519,1.04737,0.91563,0.84892,0.91817,0.7066,0.79748,0.65578,1.03861,0.009307,0.009307,0.009307
9,685.961,0.83416,0.70307,1.04363,0.90474,0.86394,0.93224,0.73195,0.73924,0.63672,1.00176,0.009208,0.009208,0.009208
10,763.705,0.80823,0.68196,1.03017,0.9076,0.87268,0.93336,0.73619,0.74834,0.66191,0.99359,0.009109,0.009109,0.009109
11,840.449,0.78978,0.65414,1.02078,0.90299,0.87153,0.92922,0.72768,0.72975,0.63368,1.00769,0.00901,0.00901,0.00901
12,916.048,0.78895,0.66738,1.0221,0.91769,0.89,0.94556,0.75628,0.69571,0.56851,0.98212,0.008911,0.008911,0.008911
13,992.204,0.78089,0.64803,1.02005,0.92949,0.87685,0.94288,0.75057,0.72621,0.56064,1.00371,0.008812,0.008812,0.008812
14,1068.85,0.76682,0.63096,1.01254,0.92981,0.87977,0.94515,0.74941,0.69337,0.56485,0.98582,0.008713,0.008713,0.008713
15,1145.14,0.75349,0.6222,1.00714,0.90839,0.89969,0.94341,0.75093,0.69461,0.58471,0.99015,0.008614,0.008614,0.008614
16,1221.97,0.7544,0.61226,1.00789,0.92593,0.89776,0.95008,0.76556,0.68795,0.5415,0.97619,0.008515,0.008515,0.008515
17,1298.58,0.74408,0.5961,0.99891,0.91487,0.90554,0.93316,0.7642,0.66079,0.60987,0.96681,0.008416,0.008416,0.008416
18,1376.54,0.73649,0.5863,0.99554,0.9408,0.89711,0.94912,0.76789,0.6581,0.49925,0.96253,0.008317,0.008317,0.008317
19,1453.11,0.74577,0.59013,0.99978,0.94333,0.91272,0.9596,0.7844,0.65198,0.48559,0.9627,0.008218,0.008218,0.008218
20,1531.24,0.72453,0.57139,0.98772,0.92418,0.92257,0.95538,0.78219,0.64674,0.55842,0.97005,0.008119,0.008119,0.008119
21,1607.96,0.72197,0.56828,0.99421,0.93706,0.91874,0.95831,0.7864,0.63626,0.4735,0.95556,0.00802,0.00802,0.00802
22,1685.65,0.72459,0.56615,0.99313,0.9387,0.91934,0.95962,0.78549,0.62352,0.46554,0.95052,0.007921,0.007921,0.007921
23,1761.47,0.7193,0.55439,0.99583,0.93705,0.9317,0.96324,0.79594,0.65914,0.47658,0.9705,0.007822,0.007822,0.007822
